Squamosal horn length,Survive
25.2,survived
26.9,survived
26.6,survived
25.6,survived
25.7,survived
25.9,survived
27.3,survived
25.1,survived
30.3,survived
25.6,survived
26,survived
24.6,survived
25.6,survived
25.3,survived
23.5,survived
24.5,survived
23.3,survived
26,survived
23.9,survived
27.3,survived
25.4,survived
25.5,survived
21.4,survived
23.8,survived
25.5,survived
19.2,survived
20.7,survived
19.2,survived
25.5,survived
20.5,survived
20.6,survived
24.9,survived
23.7,survived
23.4,survived
25.6,survived
26.6,survived
27.7,survived
25.7,survived
27,survived
26.5,survived
25,survived
19.7,survived
27.1,survived
23,survived
22.7,survived
25.8,survived
28.8,survived
23.5,survived
23.2,survived
25.3,survived
23.8,survived
25.1,survived
26.7,survived
27.1,survived
22.5,survived
25.5,survived
24.4,survived
25.6,survived
20.6,survived
25.5,survived
24.5,survived
23,survived
27.6,survived
27.3,survived
20.7,survived
26,survived
25.1,survived
19.9,survived
23.5,survived
24.8,survived
22.4,survived
24.7,survived
27.5,survived
21.5,survived
24,survived
22.4,survived
21.3,survived
25,survived
24.3,survived
24.5,survived
23.6,survived
21.1,survived
25.6,survived
26.1,survived
23.7,survived
24.2,survived
23.2,survived
26.5,survived
28.1,survived
24.1,survived
29.5,survived
24,survived
26.8,survived
25.8,survived
23.3,survived
22.4,survived
24.2,survived
26.1,survived
23.2,survived
21.7,survived
24.7,survived
21.4,survived
18.5,survived
23.2,survived
,survived
21.5,survived
29.1,survived
21.7,survived
23.5,survived
23,survived
20,survived
21.9,survived
27.4,survived
27.1,survived
23.1,survived
23.8,survived
26.5,survived
27,survived
26.4,survived
26.3,survived
20.6,survived
24.5,survived
22.8,survived
25.5,survived
25.3,survived
28,survived
20.8,survived
25.9,survived
24,survived
22.5,survived
26.3,survived
23.3,survived
24.5,survived
21.6,survived
23.6,survived
23,survived
22.4,survived
27.4,survived
25,survived
23.9,survived
28.2,survived
27.2,survived
13.1,survived
22.9,survived
26.6,survived
25.8,survived
26.3,survived
20.9,survived
25.6,survived
24.8,survived
19.2,survived
27.4,survived
24.2,survived
15.7,survived
17.7,survived
21.4,dead
23.9,dead
23.2,dead
22.6,dead
22.5,dead
19.3,dead
23.5,dead
23.4,dead
19,dead
21.7,dead
20.2,dead
26.7,dead
21.7,dead
21,dead
23.9,dead
24.6,dead
21.6,dead
25.3,dead
25,dead
25.2,dead
15.2,dead
22.9,dead
21.4,dead
23.9,dead
17.2,dead
15.5,dead
22,dead
22,dead
23.1,dead
20.7,dead
